trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",30,1,-158.904287271677,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 4}",1
2,False,"{'a': 0.5, 'e': 0.998}",30,14,-58.589806239349215,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.997}",20,0,-4.594536427924636,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.996}",20,0,-75.33745180396377,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.995}",30,5,-108.00214028788417,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.994}",30,0,-215.66705259844184,"{0: 15, 1: 4, 2: 7, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.993}",25,0,-122.58520494507836,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.992}",20,0,-182.92185758802424,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.991}",25,0,-99.89395334200971,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.99}",25,0,-126.89424588111906,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.989}",20,0,-59.20727153136325,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.988}",20,12,-52.02306124492326,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.987}",25,0,-55.83566629503679,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.986}",20,0,-109.01995547019204,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.985}",20,0,-49.87352261852235,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.984}",25,0,-186.04953623747608,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.983}",25,0,-183.08285479530298,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.982}",25,0,-121.75435870147186,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.981}",30,0,-111.07226309151204,"{0: 16, 1: 6, 2: 6, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.98}",20,5,-57.566326977116645,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.979}",20,4,-94.17371672199255,"{0: 7, 1: 3, 2: 5, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.978}",20,0,-136.0978562181451,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.977}",20,0,-109.65167947563626,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.976}",25,0,-121.67750047156399,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.975}",25,0,-89.4556068728769,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.974}",25,0,-99.2681695748644,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.973}",20,4,-11.234418178560894,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.972}",25,0,-76.59038219695071,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.971}",20,0,-53.560081725333895,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.97}",20,0,-16.488951400589645,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.969}",20,0,-103.60465086722468,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.968}",25,0,-116.5196799853217,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.967}",25,0,-149.7157277495984,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.966}",25,0,-175.306626397197,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.965}",20,0,-44.83457966857784,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.964}",20,0,-35.32001789478715,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.963}",25,14,-14.738380649679954,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
