trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.75350650018235,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,11,-87.49203605044262,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.95692611776929,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.0244625541426,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.9464634250742,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-78.95552703206263,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.73547686964619,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.52491755315129,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.82858351817414,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.01975727181717,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.901815416918737,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.15627619185564,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.978025083346,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.4491589354492,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,22,-40.56116518650335,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.91819500235725,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-192.37427376081232,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.39877606490148,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-156.8089343861028,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.36056797018209,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-151.64218419461113,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-99.95261159125633,"{0: 12, 1: 5, 2: 7, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-126.75884523472213,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-178.22339105308765,"{0: 7, 1: 3, 2: 7, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-224.9061253085739,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,9,-19.748644991322905,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-181.10876092868133,"{0: 15, 1: 1, 2: 11, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-187.4598570495844,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-126.80425006054517,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-181.64949497287597,"{0: 11, 1: 1, 2: 9, 3: 3, 4: 1}",0
